node1,node2,edge
220,236,0
313,1552,0
623,4468,0
306,1293,0
296,5695,0
300,2412,0
304,1253,0
206,2223,0
226,3828,0
239,6352,0
267,5740,0
240,3,0
297,3986,0
376,7080,0
250,6886,0
306,69,0
240,5742,0
190,5702,0
319,4516,0
318,1556,0
29,6707,0
320,4797,0
332,6797,0
218,2217,0
310,5847,0
190,4046,0
148,4738,0
275,2301,0
314,6046,0
261,1248,0
214,2066,0
251,4494,0
325,6022,0
267,4385,0
240,2580,0
223,684,0
376,6318,0
218,6116,0
188,4538,0
234,4812,0
212,6978,0
287,7106,0
313,6987,0
190,6484,0
207,5467,0
189,2095,0
307,4425,0
286,3299,0
215,6121,0
265,1121,0
255,5622,0
208,833,0
234,1436,0
282,1522,0
281,2410,0
214,718,0
259,357,0
189,5956,0
341,844,0
333,6360,0
253,724,0
187,1524,0
280,1461,0
282,4666,0
238,5898,0
307,471,0
265,4667,0
214,6229,0
207,1214,0
274,4644,0
315,5942,0
351,1819,0
299,3470,0
279,141,0
355,3973,0
321,3955,0
284,4592,0
341,5574,0
189,2047,0
275,5365,0
299,6184,0
339,1992,0
266,4772,0
278,4324,0
187,4749,0
258,2961,0
341,5639,0
927,5922,0
327,1113,0
206,1057,0
189,4461,0
275,3986,0
253,921,0
267,3098,0
287,4348,0
238,6188,0
213,2629,0
280,292,0
252,4731,0
250,5007,0
293,4447,0
208,4752,0
324,6127,0
298,582,0
263,4607,0
230,1381,0
229,4192,0
305,5733,0
327,990,0
314,1469,0
320,1049,0
254,34,0
282,715,0
355,2192,0
247,3625,0
311,1941,0
726,6651,0
233,1747,0
228,4678,0
189,3728,0
249,1700,0
693,6821,0
235,4500,0
331,6180,0
240,5695,0
932,5761,0
302,6653,0
213,6659,0
304,2400,0
292,6828,0
233,4097,0
239,5177,0
327,539,0
261,2228,0
325,1710,0
330,3325,0
328,5588,0
205,4514,0
319,1674,0
205,393,0
318,3047,0
273,1222,0
339,4888,0
726,5441,0
219,3439,0
29,1979,0
231,1405,0
278,5964,0
294,1875,0
694,101,0
359,1659,0
216,916,0
190,3710,0
623,551,0
693,3635,0
308,6180,0
240,4307,0
209,7048,0
240,7062,0
258,1996,0
313,5573,0
306,5828,0
724,5848,0
322,3476,0
233,6773,0
214,1908,0
218,5828,0
205,531,0
206,655,0
320,3278,0
723,1684,0
288,2621,0
295,6079,0
305,3723,0
248,5054,0
228,7019,0
250,1522,0
355,1766,0
244,4410,0
255,5354,0
243,4401,0
332,5552,0
355,4218,0
241,6233,0
340,4457,0
329,3174,0
257,5279,0
328,1561,0
224,2685,0
218,1888,0
325,2447,0
251,4146,0
300,388,0
300,494,0
246,1408,0
304,1146,0
317,4856,0
318,4937,0
312,6412,0
288,5513,0
723,6036,0
355,6052,0
272,1939,0
287,1364,0
333,1271,0
285,1382,0
269,891,0
317,4238,0
329,1502,0
255,3829,0
322,4662,0
218,2107,0
237,2835,0
312,2188,0
693,489,0
294,3550,0
299,7077,0
723,2483,0
322,1116,0
268,4516,0
215,1189,0
205,3320,0
370,7002,0
333,1240,0
338,1895,0
277,821,0
217,801,0
277,369,0
213,1317,0
723,5167,0
271,3915,0
214,6081,0
265,2280,0
263,7205,0
271,6247,0
372,2531,0
275,5406,0
742,777,0
723,1360,0
271,3704,0
297,1546,0
277,2884,0
254,1044,0
280,4994,0
314,5850,0
288,6540,0
226,3897,0
228,5510,0
355,515,0
726,1581,0
284,4513,0
211,320,0
322,5479,0
325,6018,0
235,1535,0
623,5334,0
301,5332,0
332,2570,0
237,6761,0
290,6413,0
693,1315,0
186,5922,0
330,3434,0
258,3479,0
283,5214,0
320,2719,0
722,3426,0
305,6068,0
317,6668,0
256,3637,0
328,6000,0
264,3790,0
321,1729,0
187,6141,0
212,1880,0
256,4004,0
370,2741,0
235,884,0
330,2319,0
340,6527,0
211,4862,0
332,265,0
282,48,0
309,988,0
304,851,0
251,4643,0
259,5357,0
280,3806,0
206,3956,0
238,2096,0
283,3419,0
224,2558,0
228,2700,0
188,4132,0
223,6661,0
334,6007,0
250,3656,0
33,4489,0
333,5827,0
303,311,0
321,434,0
254,5591,0
273,5286,0
339,4901,0
242,512,0
265,961,0
255,1506,0
742,3940,0
932,2114,0
264,1253,0
225,3620,0
293,2125,0
219,2926,0
217,1112,0
316,5192,0
322,1415,0
316,1063,0
723,2047,0
222,4059,0
359,2928,0
219,6636,0
148,496,0
330,5667,0
257,6199,0
246,3909,0
308,7193,0
263,393,0
272,2471,0
282,2700,0
359,2672,0
295,278,0
294,7063,0
262,1400,0
370,3514,0
230,1505,0
319,5058,0
723,2474,0
327,2473,0
275,6769,0
341,1498,0
210,6491,0
324,630,0
341,57,0
260,2204,0
372,4083,0
16,5027,0
210,1883,0
245,3677,0
294,574,0
125,686,0
230,5412,0
307,3811,0
217,2564,0
308,3279,0
236,394,0
726,3106,0
247,3032,0
323,3379,0
314,2255,0
235,3148,0
339,5680,0
187,3910,0
266,4943,0
294,2697,0
246,2410,0
251,1219,0
190,5552,0
205,6396,0
259,890,0
306,825,0
247,1082,0
294,293,0
308,6215,0
317,4063,0
724,3622,0
211,1946,0
217,660,0
189,1039,0
334,3201,0
217,3005,0
218,3416,0
333,2397,0
16,244,0
744,3901,0
288,535,0
213,4471,0
212,2974,0
328,6155,0
226,5848,0
288,4253,0
286,841,0
212,3812,0
212,6015,0
208,5465,0
232,1679,0
294,5445,0
287,7090,0
256,6849,0
292,3614,0
218,7187,0
237,4050,0
294,3234,0
242,6196,0
148,1322,0
215,2759,0
333,3813,0
308,1989,0
328,1643,0
306,3978,0
249,858,0
188,4530,0
231,3086,0
323,7006,0
331,6727,0
292,1398,0
310,3416,0
297,5217,0
280,3726,0
294,3864,0
211,690,0
325,6975,0
290,1486,0
293,5479,0
218,1107,0
724,6837,0
277,1586,0
725,7110,0
209,319,0
323,3598,0
333,2091,0
725,4781,0
275,5008,0
266,2011,0
271,6219,0
281,931,0
263,2783,0
723,2893,0
190,2267,0
235,189,0
255,291,0
722,1496,0
242,4900,0
292,2191,0
271,3504,0
226,6536,0
742,4573,0
295,966,0
294,2483,0
262,6414,0
222,3656,0
322,2426,0
932,3271,0
253,3210,0
293,4250,0
322,4828,0
148,2534,0
29,1840,0
212,5992,0
317,1178,0
186,891,0
722,3987,0
207,2087,0
213,4171,0
324,2579,0
278,2026,0
326,5315,0
281,4885,0
264,5186,0
308,5587,0
284,4145,0
256,3171,0
190,3545,0
207,4489,0
191,5710,0
268,6404,0
359,5407,0
322,2783,0
232,690,0
312,1357,0
253,623,0
239,3347,0
307,2633,0
325,6616,0
249,6396,0
237,941,0
328,6288,0
372,6357,0
223,5980,0
251,7012,0
297,6350,0
33,3174,0
238,2472,0
219,2943,0
278,466,0
330,4389,0
241,1847,0
292,6787,0
273,4731,0
