"Pathogen","Taxonomy ID","Uniprot ID","Pathogen Protein","Uniprot ID","Human Protein","Experimental Method","Pubmed ID"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03433","PA_I34A1 ","P49736","MCM2_HUMAN ","anti bait coimmunoprecipitation","17932485"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03466","NCAP_I34A1 ","P49736","MCM2_HUMAN ","anti bait coimmunoprecipitation","17932485"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03428","PB2_I34A1 ","P49736","MCM2_HUMAN ","anti bait coimmunoprecipitation","17932485"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03485","M1_I34A1 ","P15311","EZRI_HUMAN ","anti bait coimmunoprecipitation","17022977"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03485","M1_I34A1 ","P11142","HSP7C_HUMAN ","anti bait coimmunoprecipitation","17022977"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03433","PA_I34A1 ","P33992","MCM5_HUMAN ","anti tag coimmunoprecipitation","17932485"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03433","PA_I34A1 ","P33991","MCM4_HUMAN ","anti tag coimmunoprecipitation","17932485"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03433","PA_I34A1 ","P25205","MCM3_HUMAN ","anti tag coimmunoprecipitation","17932485"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03433","PA_I34A1 ","P33993","MCM7_HUMAN ","anti tag coimmunoprecipitation","17932485"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03433","PA_I34A1 ","P49736","MCM2_HUMAN ","anti tag coimmunoprecipitation","17932485"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03496","NS1_I34A1 ","O00459","P85B_HUMAN ","anti tag coimmunoprecipitation","16963558"
"Influenza A virus STRAIN A / hvPR8 / 34 (H1N1)","437607","A4ZNP8","A4ZNP8_I34A1 ","O43719","HTSF1_HUMAN ","anti tag coimmunoprecipitation","17991777"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03485","M1_I34A1 ","P11142","HSP7C_HUMAN ","filter binding","17022977"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","Q82506","NS1_I33A0 ","P34931","HS71L_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","Q82506","NS1_I33A0 ","O00459","P85B_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)","381518","Q82506","NS1_I33A0 ","O14654","IRS4_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P61978","HNRPK_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P05141","ADT2_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P35268","RL22_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q8WWM7","ATX2L_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","P62258","1433E_HUMAN ","tandem affinity purification","22810585"
"Influenza A virus STRAIN A / TEXAS / 36 / 1991 (H1N1)","380964","Q9WPI5","Q9WPI5_9INFA ","Q9BUJ2","HNRL1_HUMAN ","tandem affinity purification","22810585"
