,pathogen,human,interaction
0,O39474_9HEPC ,BAX_HUMAN ,1
1,O39474_9HEPC ,GRB2_HUMAN ,1
2,O39474_9HEPC ,HCK_HUMAN ,1
3,O39474_9HEPC ,LCK_HUMAN ,1
4,O39474_9HEPC ,FYN_HUMAN ,1
5,O39474_9HEPC ,LYN_HUMAN ,1
6,O39474_9HEPC ,RAF1_HUMAN ,1
7,O39474_9HEPC ,FKBP5_HUMAN ,1
8,O39474_9HEPC ,SRCAP_HUMAN ,1
9,O39474_9HEPC ,APOA1_HUMAN ,1
10,O39474_9HEPC ,HNRPK_HUMAN ,0
11,O39474_9HEPC ,P73_HUMAN ,0
12,O39474_9HEPC ,TRAF2_HUMAN ,1
13,O39474_9HEPC ,ASPP2_HUMAN ,0
14,O39474_9HEPC ,IPO5_HUMAN ,0
15,O39474_9HEPC ,BIN1_HUMAN ,1
16,O39474_9HEPC ,LA_HUMAN ,1
17,O39474_9HEPC ,TAF11_HUMAN ,0
18,O39474_9HEPC ,P53_HUMAN ,1
19,O39474_9HEPC ,TBP_HUMAN ,1
20,O39474_9HEPC ,TNR3_HUMAN ,0
21,O39474_9HEPC ,DDX3X_HUMAN ,0
22,O39474_9HEPC ,D0PNI1_HUMAN ,0
23,O39474_9HEPC ,1433B_HUMAN ,0
24,O39474_9HEPC ,1433E_HUMAN ,0
25,O39474_9HEPC ,TRFL_HUMAN ,0
26,O39474_9HEPC ,EP300_HUMAN ,0
27,O39474_9HEPC ,CBP_HUMAN ,0
28,O39474_9HEPC ,B0LPF3_HUMAN ,1
29,O39474_9HEPC ,ANM5_HUMAN ,0
30,O39474_9HEPC ,TTC4_HUMAN ,0
31,O39474_9HEPC ,ACTN1_HUMAN ,0
32,O39474_9HEPC ,IF4A2_HUMAN ,0
33,O39474_9HEPC ,TSN_HUMAN ,0
34,O39474_9HEPC ,Q6AZW6_HUMAN ,0
35,O39474_9HEPC ,ATF6B_HUMAN ,0
36,O39474_9HEPC ,HAOX1_HUMAN ,0
37,O39474_9HEPC ,UBQL1_HUMAN ,0
38,O39474_9HEPC ,TAF9_HUMAN ,0
39,O39474_9HEPC ,KAD6_HUMAN ,0
40,O39474_9HEPC ,FBXL2_HUMAN ,0
41,O39474_9HEPC ,B3KM80_HUMAN ,0
42,O39474_9HEPC ,TBK1_HUMAN ,0
43,O39474_9HEPC ,IKKE_HUMAN ,0
44,O39474_9HEPC ,MAVS_HUMAN ,0
45,O39474_9HEPC ,PSME3_HUMAN ,0
46,O39474_9HEPC ,OAS1_HUMAN ,0
47,O39474_9HEPC ,FKBP8_HUMAN ,1
48,O39474_9HEPC ,VAPB_HUMAN ,0
49,O39474_9HEPC ,PITX1_HUMAN ,0
50,O39474_9HEPC ,VAPA_HUMAN ,0
51,O39474_9HEPC ,APOA2_HUMAN ,0
52,O39474_9HEPC ,CH10_HUMAN ,0
53,O39474_9HEPC ,SUMO2_HUMAN ,0
54,O39474_9HEPC ,THIO_HUMAN ,0
55,O39474_9HEPC ,BASP1_HUMAN ,0
56,O39474_9HEPC ,MPCP_HUMAN ,0
57,O39474_9HEPC ,NPM_HUMAN ,0
58,O39474_9HEPC ,ELAV1_HUMAN ,0
59,O39474_9HEPC ,ADT3_HUMAN ,0
60,O39474_9HEPC ,TPIS_HUMAN ,0
61,O39474_9HEPC ,ENOA_HUMAN ,0
62,O39474_9HEPC ,PLP2_HUMAN ,0
63,O39474_9HEPC ,MARCS_HUMAN ,0
64,O39474_9HEPC ,PRDX1_HUMAN ,0
65,O39474_9HEPC ,PPIA_HUMAN ,0
66,O39474_9HEPC ,STMN1_HUMAN ,0
67,O39474_9HEPC ,NP1L1_HUMAN ,0
68,O39474_9HEPC ,CH60_HUMAN ,0
69,O39474_9HEPC ,UBP19_HUMAN ,0
70,O39474_9HEPC ,GRP78_HUMAN ,0
71,O39474_9HEPC ,MOB1A_HUMAN ,0
72,O39474_9HEPC ,MOB1B_HUMAN ,0
73,O39474_9HEPC ,MIF_HUMAN ,0
74,O39474_9HEPC ,ADT2_HUMAN ,0
75,O39474_9HEPC ,ACTBL_HUMAN ,0
76,O39474_9HEPC ,TBB4B_HUMAN ,0
77,O39474_9HEPC ,TBB5_HUMAN ,0
78,O39474_9HEPC ,IRS4_HUMAN ,0
79,O39474_9HEPC ,SMYD3_HUMAN ,0
80,O39474_9HEPC ,CD81_HUMAN ,0
81,O39474_9HEPC ,AP2M1_HUMAN ,0
82,O39474_9HEPC ,E2AK2_HUMAN ,0
83,O39474_9HEPC ,PML_HUMAN ,0
84,O39474_9HEPC ,MAPK3_HUMAN ,0
85,O39474_9HEPC ,PI4KA_HUMAN ,0
86,O39474_9HEPC ,HAOX2_HUMAN ,0
87,O39474_9HEPC ,FIBB_HUMAN ,0
88,O39474_9HEPC ,DDX5_HUMAN ,0
89,O39474_9HEPC ,HACD3_HUMAN ,0
90,O39474_9HEPC ,CIDEB_HUMAN ,0
