virusUprot,humanUprot
P03433,P49736
P03466,P49736
P03428,P49736
P03485,P15311
P03485,P11142
P08276,Q86U42
P08276,Q86U42
P03433,P33992
P03433,P33991
P03433,P25205
P03433,P33993
P03433,P49736
P03496,O00459
A4ZNP8,O43719
P03485,P11142
P31345,P52294
P03495,O95639
P03495,O95639
P03495,O95639
P03437,P01903
P03437,P13760
P03437,P01737
P31345,P52294
P03495,O95639
P03495,O95639
Q82506,P34931
Q82506,O00459
Q82506,O14654
Q9WPI5,P61978
Q9WPI5,P05141
Q9WPI5,P35268
Q9WPI5,Q8WWM7
Q9WPI5,P62258
Q9WPI5,Q9BUJ2
Q9WPI5,O43390
Q9WPI5,Q93077
Q9WPI5,P42336
Q9WPI5,Q9H0C2
Q9WPI5,P27348
Q9WPI5,Q7L2E3
Q9WPI5,P31942
Q9WPI5,Q16777
Q9WPI5,Q6FI13
Q9WPI5,P67809
Q9WPI5,Q99729
Q9WPI5,Q86U42
Q9WPI5,P63267
Q9WPI5,P12236
Q9WPI5,P11940
Q9WPI5,P43243
Q9WPI5,Q7L7L0
Q9WPI5,O00459
Q9WPI5,P07910
Q9WPI5,P62829
Q9WPI5,Q9NPA8
Q9WPI5,P14866
Q9WPI5,Q12905
Q9WPI5,Q96KK5
Q9WPI5,O60506
Q9WPI5,Q9NNW5
Q9WPI5,P62805
Q9WPI5,Q12906
Q9WPI5,Q5JVF3
Q9WPI5,P04908
Q9WPI5,Q8N163
Q9WPI5,Q9BTM1
Q9WPI5,Q5VTE0
Q9WPI5,P0C0S8
Q9WPI5,O43143
Q9WPI5,P22626
Q9WPI5,P63104
Q9WPI5,Q00839
Q9WPI5,P23396
Q9WPI5,O14654
Q9WPI5,P09651
Q9WPI5,Q08211
Q9WPI5,P12235
Q9WPI5,P35637
Q9WPI5,P62269
Q9WPI5,P25398
Q9WPI5,P31946
Q9WPI5,P68104
Q9WPI5,P31943
Q9WPI5,P52597
Q9WPI5,Q99878
Q9WPI5,P62736
Q9WPI5,P07437
Q9WPI5,P20671
P06821,P35520
P03496,Q8WYJ6
P03428,P02511
P03428,O14641
P06821,O14641
P03431,O14641
P03485,O14641
P06821,Q92997
P03428,Q92997
P03485,Q92997
P03431,Q92997
P03431,Q06547
P03433,O00505
P03466,O00505
P03496,O00505
P03433,O14639
P03466,P43360
P03428,P43360
P03466,P43364
P03431,P43364
P03428,P43364
P03431,P50222
P03433,P50222
P03485,P50222
P06821,P50222
P03468,P50222
P03428,P50222
P03466,Q13126
P03433,O75489
P03431,Q16656
P03433,Q13362
P03428,P45984
P03496,P45984
P03433,Q99942
P03431,Q8IUQ4
P03496,P23497
P03485,O95793
P03496,O95793
P03496,Q13190
P03428,O75410
P03496,Q15633
P03431,Q99081
P03428,Q99081
P03431,Q12800
P03485,Q12800
P06821,Q12800
P03428,Q12800
P03428,Q13077
P03466,Q13077
P03428,Q12933
P03431,Q15654
P03431,P63279
P03496,P63279
P03433,P10746
P06821,P24278
P03508,Q13155
P03428,Q9H2G9
P03431,O14503
P03428,O14503
P03496,O75569
P03485,O75569
P03428,Q8ND90
P03466,Q9Y5V3
P03466,P51116
P03496,P51116
P03431,P51116
P03452,Q9Y5P4
P03433,Q6IB77
P03496,O75608
P03468,O43889
P03452,O43889
P03428,O43889
P03496,O75525
P03431,Q93062
P03428,Q93062
P06821,Q93062
P03485,Q96B26
P03431,Q9UKT9
P03431,Q9UL40
P03496,Q9UL40
P03433,Q9H3Q1
P03433,Q9Y305
P03466,O60684
P03433,P81877
P06821,Q9Y6X0
P03485,Q9H190
P03428,Q9UJ41
P03433,Q6IBW4
P03431,Q9NZF1
P03428,Q9UJC3
P03431,Q9H892
P03496,Q8N9N5
P03428,Q8N9N5
P03431,Q8N9N5
P03433,Q9UHQ4
P03433,Q7LBR1
P03496,Q96AT1
P03428,Q9P1Z2
P03496,Q9HA38
P03466,Q96IK5
P03433,Q96T21
P03433,Q96FZ7
P03485,Q9H898
P03431,Q9H898
P03496,Q9H898
P03428,Q8N5R6
P03466,Q8NHQ1
P03428,Q8NHQ1
P03431,Q8NHQ1
P03428,Q8NF50
P03433,Q9BXR0
P03431,Q8N6Y0
P03428,Q8N6Y0
P03496,Q96IP2
P03428,Q6P1W5
P03466,Q96MC5
P03428,Q96DZ9
P03508,Q96FJ2
P03466,Q8TD10
P03428,Q8TD10
P03433,Q96D05
P03428,Q8N448
P03452,Q8N448
P03433,Q8N448
P03431,Q8N448
P06821,Q8N448
P03496,Q8N448
P03485,Q8N448
P03433,Q8N661
P03428,Q8N5I3
P03433,Q96EC8
P03428,P0C7W6
Q67296,P02511
P03495,O14641
Q67296,O14641
Q67296,Q92997
Q1K9E3,Q06547
P03495,Q08379
P06827,P52294
P06827,O00505
Q67296,P43360
Q67296,P43364
P03495,P43365
P06827,P40692
Q1K9E3,Q16656
P03495,P45984
P03495,P14373
Q1K9E3,Q8IUQ4
P03495,O95793
Q67296,O75410
P03495,Q15633
Q1K9E3,Q99081
Q67296,Q99081
Q1K9E3,Q12800
P69258,Q12800
Q67296,Q13077
Q67296,Q12933
Q1K9E3,Q15654
P03495,P63279
P06827,P24278
P69258,Q13155
Q67296,Q9H2G9
P03495,O14503
Q67296,O14503
P03495,O75569
Q67296,Q8ND90
P06827,Q9Y5V3
Q1K9E3,P51116
P03495,O75525
P03495,O95639
Q1K9E3,Q93062
Q67296,Q93062
Q67296,Q96B26
P03495,Q9UL40
P06827,O60684
P03495,Q9H190
Q67296,Q9UJ41
Q67296,Q9UJC3
Q1K9E3,Q8N9N5
Q67296,Q9P1Z2
P03495,Q9HA38
P06827,Q96IK5
P03495,Q6NT76
P03495,Q9H898
P03495,Q8N5R6
Q67296,Q8NHQ1
P03495,Q8NF50
Q67296,Q8NF50
P06827,Q8N6Y0
Q67296,Q8N6Y0
P03495,Q9BRK4
Q67296,Q6P1W5
P06827,Q96MC5
P03495,Q9Y2D8
P69258,Q96FJ2
Q67296,Q8TD10
P03495,Q8N448
Q1K9E2,Q8N448
Q67296,Q8N448
Q67296,Q8N5I3
Q67296,P0C7W6
P03496,P12235
P03496,Q9Y3I0
P03496,Q71U36
