virusUprot,humanUprot
O39474,Q07812
O39474,P62993
O39474,P08631
O39474,P06239
O39474,P06241
O39474,P07948
O39474,P04049
O39474,Q13451
O39474,Q6ZRS2
P27958,P06241
P27958,P07948
P27958,P08631
Q9WMX2,P06241
Q9WMX2,P07948
P26664,P42224
Q9WMX2,P14618
O39474,P02647
O39474,Q07812
Q00687,P61978
Q00687,O15350
O39474,Q12933
O90248,Q13625
Q9YKI3,Q6ZRS2
O39474,P62993
Q00687,P61978
Q9YKI3,O00410
Q9YKI3,P62993
O90248,Q13625
O39474,Q6ZRS2
Q9YKI3,Q6ZRS2
Q9YKI3,O00410
Q9YKI3,P62993
O39474,O00499
Q9YKI3,Q6ZRS2
O39474,P02647
O39474,Q07812
O39474,P62993
O39474,P62993
Q00687,P61978
O39474,P08631
O39474,P06239
O39474,P06241
O39474,P07948
O39474,P04049
Q9YKI3,O00410
Q9YKI3,P62993
O39474,O00499
O39474,Q12933
O39474,P05455
O39474,Q6ZRS2
Q9JGA0,Q15544
Q9YKI3,Q6ZRS2
Q9JGA0,P04637
O39474,P05455
O39474,P02647
O39474,P62993
O39474,P08631
O39474,P06239
O39474,P06241
O39474,P07948
P27958,P78337
P27958,P12814
P26664,Q9UMX0
P26664,P42224
P26664,P07900
Q9WMX2,P14618
P29846,O43889
Q68840,Q9NYF6
P27958,P78337
P27958,P12814
P26664,Q9UMX0
P27958,Q9P0L0
Q68840,O00571
P27958,P02652
P29846,O43889
P27958,Q9P0L0
P29846,O43889
P27958,P06241
P27958,P06241
P26660,P62993
O92972,P62993
P27958,P62993
P27958,P62993
P26660,P07948
O92972,P07948
P27958,P07948
P27958,P07948
P26660,P08631
O92972,P08631
P27958,P08631
P27958,P08631
P26660,P06241
O92972,P06241
Q9WMX2,P06241
Q9WMX2,P07948
Q9WMX2,P62993
Q9WMX2,P06239
Q9WMX2,P08631
P26664,Q9UMX0
Q03463,P51571
Q03463,Q6UXK2
Q03463,Q9H2W1
Q03463,O95466
Q03463,Q96SI9
P27958,Q9P0L0
Q68840,O00571
Q9E3E3,P06241
Q9E3E3,P08631
Q9E3E3,P07948
P26664,P19525
P27958,P02652
P27958,P06241
O92972,P62993
P27958,P62993
O92972,P07948
P27958,P07948
O92972,P08631
P27958,P08631
O92972,P06241
Q9WMX2,P14618
P26663,P14618
P27958,P07948
P27958,P08631
Q9WMX2,P07948
P27958,P06239
Q9WMX2,Q7L7L0
Q9WMX2,P20671
Q9WMX2,P55795
Q9WMX2,P31942
Q9WMX2,P0C0S8
Q9WMX2,P22626
Q9WMX2,Q9BTM1
Q9WMX2,P04908
Q9WMX2,O00571
Q9WMX2,P55209
Q9WMX2,Q99878
Q9WMX2,P62269
Q9WMX2,P31943
Q9WMX2,Q16777
Q9WMX2,P62805
Q9WMX2,Q93077
Q9WMX2,Q6FI13
Q9WMX2,Q99733
Q9WMX2,Q96KK5
Q9WMX2,Q32P51
Q9WMX2,P09651
P27958,O00499
P27958,P61604
P27958,P61956
P27958,P10599
P27958,P80723
P27958,Q00325
P27958,P06748
P27958,Q15717
P27958,P12236
P27958,P60174
P27958,P06733
P27958,O95292
P27958,Q04941
P27958,P29966
P27958,Q06830
P27958,P62937
P27958,P16949
P27958,P05455
P27958,P55209
P27958,P10809
P27958,O94966
P27958,P11021
P27958,Q9H8S9
P27958,Q9P0L0
P27958,Q7L9L4
P27958,P14174
P27958,P05141
P27958,Q562R1
P27958,P68371
P27958,P07437
P27958,O14654
P27958,Q9H7B4
O39474,P04049
P26662,P67870
Q9WMX2,O15162
P26662,P37231
Q9WMX2,O00499
Q9WMX2,O14874
Q9WMX2,O43559
Q9WMX2,O94875
Q9WMX2,P20701
Q9WMX2,P28065
Q9WMX2,P32456
Q9WMX2,P52294
Q9WMX2,Q08379
Q9WMX2,Q12805
Q9WMX2,Q13137
Q9WMX2,Q13227
Q9WMX2,Q6P2H3
Q9WMX2,Q6PKC3
Q9WMX2,Q8N1B4
Q9WMX2,A2RUB6
Q9WMX2,O00468
Q9WMX2,O00499
Q9WMX2,O00571
Q9WMX2,O14594
Q9WMX2,O14777
Q9WMX2,O14874
Q9WMX2,O15015
Q9WMX2,O15084
Q9WMX2,O15162
Q9WMX2,O15162
Q9WMX2,O15169
Q9WMX2,O15230
Q9WMX2,O15432
Q9WMX2,O15523
Q9WMX2,O43294
Q9WMX2,O43392
Q9WMX2,O43559
Q9WMX2,O43866
Q9WMX2,O43889
Q9WMX2,O60504
Q9WMX2,O60687
Q9WMX2,O60711
Q9WMX2,O75093
Q9WMX2,O75094
Q9WMX2,O75095
Q9WMX2,O75398
Q9WMX2,O75962
Q9WMX2,O94813
Q9WMX2,O94875
Q9WMX2,O94966
Q9WMX2,O94986
Q9WMX2,O95153
Q9WMX2,O95219
Q9WMX2,O95248
Q9WMX2,O95967
Q9WMX2,O96013
Q9WMX2,P00414
Q9WMX2,P0CG04
Q9WMX2,P02751
Q9WMX2,P02794
Q9WMX2,P04275
Q9WMX2,P04406
Q9WMX2,P05412
Q9WMX2,P05556
Q9WMX2,P07196
Q9WMX2,P07197
Q9WMX2,P07332
Q9WMX2,P07737
Q9WMX2,P07996
Q9WMX2,P08572
Q9WMX2,P08670
Q9WMX2,P10253
Q9WMX2,P10515
Q9WMX2,P10643
Q9WMX2,P12814
Q9WMX2,P13378
Q9WMX2,P13611
Q9WMX2,P14136
Q9WMX2,P14373
Q9WMX2,P14543
Q9WMX2,P14618
Q9WMX2,P17661
Q9WMX2,P20265
Q9WMX2,P20700
Q9WMX2,P20701
Q9WMX2,P21675
Q9WMX2,P22736
Q9WMX2,P23142
Q9WMX2,P24557
Q9WMX2,P27918
Q9WMX2,P28065
Q9WMX2,P28799
Q9WMX2,P29279
Q9WMX2,P31629
Q9WMX2,P32456
Q9WMX2,P34810
Q9WMX2,P35555
