,virusUprot,humanUprot
0,P03433,P49736
1,P03466,P49736
2,P03428,P49736
7,P03433,P33992
8,P03433,P33991
9,P03433,P25205
10,P03433,P33993
11,P03433,P49736
12,P03496,O00459
31,Q82506,P34931
32,Q82506,O00459
33,Q82506,O14654
94,P06821,P35520
95,P03496,Q8WYJ6
96,P03428,P02511
97,P03428,O14641
98,P06821,O14641
99,P03431,O14641
101,P06821,Q92997
102,P03428,Q92997
104,P03431,Q92997
105,P03431,Q06547
106,P03433,O00505
107,P03466,O00505
108,P03496,O00505
109,P03433,O14639
110,P03466,P43360
111,P03428,P43360
112,P03466,P43364
113,P03431,P43364
114,P03428,P43364
115,P03431,P50222
116,P03433,P50222
118,P06821,P50222
119,P03468,P50222
120,P03428,P50222
121,P03466,Q13126
122,P03433,O75489
123,P03431,Q16656
124,P03433,Q13362
125,P03428,P45984
126,P03496,P45984
127,P03433,Q99942
128,P03431,Q8IUQ4
129,P03496,P23497
131,P03496,O95793
132,P03496,Q13190
133,P03428,O75410
134,P03496,Q15633
135,P03431,Q99081
136,P03428,Q99081
137,P03431,Q12800
139,P06821,Q12800
140,P03428,Q12800
141,P03428,Q13077
142,P03466,Q13077
143,P03428,Q12933
144,P03431,Q15654
145,P03431,P63279
146,P03496,P63279
147,P03433,P10746
148,P06821,P24278
149,P03508,Q13155
150,P03428,Q9H2G9
151,P03431,O14503
152,P03428,O14503
153,P03496,O75569
155,P03428,Q8ND90
156,P03466,Q9Y5V3
157,P03466,P51116
158,P03496,P51116
159,P03431,P51116
160,P03452,Q9Y5P4
161,P03433,Q6IB77
162,P03496,O75608
163,P03468,O43889
164,P03452,O43889
165,P03428,O43889
166,P03496,O75525
167,P03431,Q93062
168,P03428,Q93062
169,P06821,Q93062
171,P03431,Q9UKT9
172,P03431,Q9UL40
173,P03496,Q9UL40
174,P03433,Q9H3Q1
175,P03433,Q9Y305
176,P03466,O60684
177,P03433,P81877
178,P06821,Q9Y6X0
180,P03428,Q9UJ41
181,P03433,Q6IBW4
182,P03431,Q9NZF1
183,P03428,Q9UJC3
184,P03431,Q9H892
185,P03496,Q8N9N5
186,P03428,Q8N9N5
187,P03431,Q8N9N5
188,P03433,Q9UHQ4
189,P03433,Q7LBR1
190,P03496,Q96AT1
191,P03428,Q9P1Z2
192,P03496,Q9HA38
193,P03466,Q96IK5
194,P03433,Q96T21
195,P03433,Q96FZ7
197,P03431,Q9H898
198,P03496,Q9H898
199,P03428,Q8N5R6
200,P03466,Q8NHQ1
201,P03428,Q8NHQ1
202,P03431,Q8NHQ1
203,P03428,Q8NF50
204,P03433,Q9BXR0
205,P03431,Q8N6Y0
206,P03428,Q8N6Y0
207,P03496,Q96IP2
208,P03428,Q6P1W5
209,P03466,Q96MC5
210,P03428,Q96DZ9
211,P03508,Q96FJ2
212,P03466,Q8TD10
213,P03428,Q8TD10
214,P03433,Q96D05
215,P03428,Q8N448
216,P03452,Q8N448
217,P03433,Q8N448
218,P03431,Q8N448
219,P06821,Q8N448
220,P03496,Q8N448
222,P03433,Q8N661
223,P03428,Q8N5I3
224,P03433,Q96EC8
225,P03428,P0C7W6
295,P03496,P12235
296,P03496,Q9Y3I0
297,P03496,Q71U36
298,P03496,Q5VTE0
299,P03496,Q7L2E3
300,P03496,P68371
301,P03496,Q9HCE1
302,P03496,Q08380
303,P03496,Q14103
304,P03496,Q00839
305,P03496,P15880
306,P03496,Q86YZ3
307,P03496,P68104
308,P03496,P12036
309,P03496,Q9Y6M1
310,P03496,Q86U42
311,P03496,O00425
312,P03496,Q13151
313,P03496,O14979
314,P03496,Q12906
315,P03496,O75569
316,P03496,P63104
317,P03496,P05141
318,P03496,P51991
319,P03496,Q92569
320,P03496,P26599
321,P03496,P52597
322,P03496,P46782
323,P03496,Q8N163
324,P03496,P62805
325,P03496,P09651
326,P03496,Q99729
327,P03496,P22626
328,P03496,Q07666
329,P03496,Q9NZI8
330,P03496,P07437
331,P03496,Q15717
332,P03496,P55265
333,P03496,O43143
334,P03496,Q92900
335,P03496,P31942
336,P03496,Q9Y2I1
337,P03496,P16989
338,P03496,Q12905
339,P03496,O95793
340,P03496,P43243
341,P03496,P61981
342,P03496,O00459
343,P03496,Q5JVF3
344,P03496,P38159
345,P03496,O60506
346,P03496,P23396
347,P03496,P14866
348,P03496,P84090
349,P03496,Q13310
350,P03496,P31943
351,P03496,Q05639
352,P03496,Q15366
353,P03496,P12236
354,P03496,P42336
355,P03496,Q9UKM9
356,P03496,P27348
357,P03496,Q8WWM7
358,P03496,P62258
359,P03496,O14654
360,P03496,Q3BBV2
361,P03496,P61978
362,P03496,P67809
363,P03496,O43390
364,P03496,P27986
365,P03496,P11940
366,P03496,P07910
367,P03496,P42338
368,P03496,P46783
369,P03496,P05386
370,P03496,Q9BUJ2
371,P03496,P31946
372,P03496,P62847
373,P03496,Q9NNW5
374,P03496,Q08211
397,P03496,Q9Y265
398,P03496,P60660
399,P03496,P23528
400,P03496,Q562R1
401,P03496,Q9Y230
402,P03496,P35580
403,P03496,Q92804
404,P03496,P35637
405,P03496,Q02539
406,P03496,P62269
407,P03496,Q32P51
408,P03496,P22492
409,P03496,P07900
410,P03496,Q9HAV0
411,P03496,P62879
412,P03496,P07195
413,P03496,P16520
414,P03496,P08238
415,P03496,Q3ZCQ8
416,P03496,P60174
417,P03496,P12277
418,P03496,Q8NHW5
419,P03496,P62873
420,P03496,P10809
421,P03496,P14174
422,P03496,P68366
423,P03496,P35579
424,P03496,O00159
425,P03496,P05388
426,P03496,P04075
427,P03496,Q15365
428,P03496,Q9GZV4
429,P03496,P62136
430,P03496,P08865
431,P03496,P46779
432,P03496,Q8N0Y7
433,P03496,P55795
434,P03496,P06748
435,P03496,P57721
436,P03496,P18669
437,P03496,P06454
438,P03496,P07737
439,P03496,P13639
440,P03496,P48643
441,P03496,P40926
442,P03496,P30041
443,P03496,P00558
444,P03496,P06733
445,P03496,P36873
446,P03496,P04406
447,P03496,P62937
448,P03496,P63241
449,P03496,P29966
450,P03496,P22234
451,P03496,Q6IS14
452,P03496,P62140
453,P03496,Q7Z406
454,P03496,P80723
455,P03496,O75369
456,P03496,P27797
457,P03496,P06576
458,P03496,P15259
459,P03496,P62306
464,P03496,O00459
466,P15659,P0CG47
467,P15659,P51784
468,P03427,P51784
531,P03431,A8K8G6
614,O56264,O00571
615,O56264,Q7L2E3
616,O56264,Q9UKM9
617,O56264,Q9NZI8
618,O56264,P61978
619,O56264,Q8N257
620,O56264,P31943
621,O56264,P62805
622,O56264,Q93079
623,O56264,P07910
624,O56264,P62807
625,O56264,Q92900
626,O56264,Q5VTE0
627,O56264,Q99879
628,O56264,P52597
629,O56264,P62847
630,O56264,P14866
631,O56264,P62280
632,O56264,P57053
633,O56264,Q12906
634,O56264,P35268
635,O56264,P52815
636,O56264,P23396
637,O56264,P31946
638,O56264,Q93077
639,O56264,Q12905
640,O56264,P33778
641,O56264,P05141
642,O56264,P0C0S8
643,O56264,O60506
644,O56264,Q08380
645,O56264,P62269
646,O56264,P26599
647,O56264,P55265
648,O56264,P58876
649,O56264,Q9NNW5
650,O56264,P15880
651,O56264,P22626
652,O56264,Q92841
653,O56264,P62258
654,O56264,P62701
655,O56264,Q9HCE1
656,O56264,Q16778
657,O56264,Q9Y2I1
658,O56264,Q96KK5
659,O56264,Q6FI13
660,O56264,Q9Y224
661,O56264,P63104
662,O56264,Q16777
663,O56264,Q8WWM7
664,O56264,P09651
665,O56264,O14979
666,O56264,Q8N163
667,O56264,Q5QNW6
668,O56264,Q9BUJ2
669,O56264,Q99880
670,O56264,O15226
671,O56264,P07437
672,O56264,P51991
673,O56264,P27986
674,O56264,Q86U42
675,O56264,O00425
676,O56264,Q14103
677,O56264,P11940
678,O56264,Q99878
679,O56264,P68371
680,O56264,P31942
681,O56264,P20671
682,O56264,O43390
683,O56264,Q9BTM1
684,O56264,P46782
685,O56264,P38159
686,O56264,P16989
687,O56264,P84090
688,O56264,P43243
689,O56264,Q08211
690,O56264,O00459
691,O56264,P12235
692,O56264,Q86V81
693,O56264,O14654
694,O56264,P23527
695,O56264,P06899
696,O56264,O43143
697,O56264,O75569
698,O56264,P46783
699,O56264,Q00839
700,O56264,Q99729
701,O56264,P35637
702,O56264,P42336
703,O56264,Q13310
704,O56264,Q99877
705,O56264,P61981
706,O56264,Q9Y6M1
707,O56264,Q7L7L0
708,O56264,Q15717
709,O56264,P25398
710,O56264,Q13151
711,O56264,P67809
712,O56264,O60814
713,O56264,P62318
714,O56264,P68104
715,O56264,P12236
716,O56264,Q15366
717,O56264,Q92569
718,O56264,P04908
719,O56264,P42338
720,O56264,O15523
721,O56264,Q9H0D6
858,P03496,O95793
874,P03466,O43707
881,P15659,Q9UNM6
883,P03496,Q13126
884,P03433,P06396
885,P03508,O14503
887,P03508,Q8N5R6
888,P03508,Q9UJ41
891,P03508,Q96DZ9
892,P03430,Q8IWX8
893,P05777,P06493
894,P03470,P00966
895,P05780,P06493
896,P03470,Q14315
897,P05780,Q7L2H7
898,P05780,Q9NRY2
899,P05780,O14980
900,P03427,Q15773
901,P03427,Q9BQE3
902,P15659,P20290
903,Q20MH0,P30153
904,P03430,P26641
905,P15659,E9PAV3
906,P03454,P82914
907,P03470,P06703
908,P05780,P29317
909,P05777,P19367
910,P03430,O75688
911,P15682,O00410
912,P15682,O00505
913,P15682,Q86U42
914,P05777,P04632
915,P05777,O43684
916,P03454,O15269
917,P03427,Q8N5C6
918,P03454,P31943
919,P03470,P16401
920,P03470,P53621
921,P05777,P11940
922,P03454,P62847
923,P05777,O00217
924,P03470,P62899
925,P03454,P62917
926,P05777,O15260
927,P05777,P10412
928,P15682,Q14152
929,P03470,P62195
930,P03430,P55072
931,P03430,P07900
932,P03470,Q9C035
933,P15682,P63010
934,P03427,Q07020
935,P03430,P46821
936,P03470,Q13155
937,P15659,Q07955
938,P15682,P51532
939,P15659,P30153
940,P03454,P62854
941,P05777,P15311
942,P05777,P10599
943,P15659,Q16891
944,P03454,P07900
945,P03454,P09429
946,P03470,Q9Y399
947,P05777,P02511
948,P15682,P26599
949,P15682,P31946
950,P05780,P06576
951,P03430,P16989
952,P05780,Q68E01
953,P03454,P61313
954,P03431,P07900
955,P03430,O95232
956,P03430,P23588
957,P05777,P12268
958,P03470,P17096
959,P03470,P60709
960,Q20MH0,Q9NY65
961,P15682,P62851
962,P05777,Q8NBQ5
963,P15682,Q7L2H7
964,P03470,P35251
965,P03427,O00232
966,P15682,Q86V48
967,P05777,Q8NC51
968,P03470,P33992
969,P03454,P80723
970,P05780,P02511
971,P15682,P50990
972,P03470,Q13885
973,Q82506,P35544
974,P15682,Q99615
975,P03470,P07737
976,P03496,Q9BUJ2
977,P03470,P80723
978,P03496,O00459
979,P05777,P17987
980,P03427,Q01130
981,P03430,P62701
982,P03427,Q9Y224
983,P15682,Q13509
984,P03427,P50914
985,P05780,O00303
986,P03470,Q8WWY3
987,P15659,P42677
988,P15682,Q14331
989,P03430,P22626
990,P05777,Q13247
991,P03470,P07339
992,P15682,Q09028
993,P05777,Q9NVV4
994,P03430,Q07020
995,P03427,P23588
996,P05777,Q13148
997,P03427,O15371
998,P15659,P25686
999,P05780,Q15008
1000,P05777,P62854
1001,P15659,Q96SI9
1002,P05777,P61254
1003,P03454,P06748
1004,P03470,Q7L014
1005,P15682,P11940
1006,P03427,P46782
1007,P03470,P61163
1008,P03470,P35249
1009,P03430,O60884
1010,P15682,Q6FI13
1011,P15682,P62995
1012,P03427,Q00577
1013,P03427,P61353
1014,P05777,P49588
1015,P03430,Q14974
1016,P15682,P09651
1017,P05780,P07900
1018,P15682,P60660
1019,P15682,P0C0S5
1020,P03470,P27348
1021,P03430,Q9Y3U8
1022,P15659,P15880
1023,P03430,Q96AG4
1024,P05777,P04843
1025,P03454,P12236
1026,P05777,P61026
1027,P03470,P13647
1028,P05777,O95232
1029,P05780,P08238
1030,P03454,O43852
1031,P15682,P11388
1032,Q82506,Q8TD20
1033,P05777,Q7KZF4
1034,P05777,P07237
1035,P03430,Q06830
1036,P15682,Q7L2J0
1037,P05780,O00571
1038,P03454,P50990
1039,P05780,P62913
1040,P15682,Q2NL82
1041,P03470,O75688
1042,P03427,Q9UNK9
1043,P05777,O75688
1044,Q82506,P61353
1045,P03470,Q9H173
1046,P05780,P52272
1047,P15682,P62249
1048,P05777,P40937
1049,P03470,Q16891
1050,P15682,P17987
1051,P05777,P28072
1052,P03470,Q6P2Q9
1053,P15659,Q15427
1054,P05777,Q9BQA1
1055,P03454,P51991
1056,P03454,P25789
1057,P03427,P29692
1058,P03427,O95817
1059,P03427,P63244
1060,P15682,P67936
1061,P03454,Q9GZQ8
1062,P03470,P0C0S8
1063,P03470,Q9BQA1
1064,P03454,P43686
1065,P03430,P0C0S8
1066,Q82506,P49207
1067,P03454,P51114
1068,P15659,P13639
1069,P03454,P27824
1070,Q1K9H5,P68104
1072,P03431,Q6PYX1
1073,Q1K9H5,P02794
1074,P03508,Q13077
1077,P03431,P35637
1078,P03427,O95071
1079,P05780,P54136
1080,P05780,P61106
1081,P05777,P12814
1082,P15682,P05787
1083,P03470,P31153
1084,P03430,Q9BZE4
1085,P05777,P98175
1086,P03427,Q5T4S7
1087,P15682,Q00610
1088,P05780,P37235
1089,P15682,P52294
1090,P15659,P36578
1091,P15682,Q02543
1092,P05780,Q8N2K0
1093,P03427,P26599
1094,P15682,Q86YP4
1095,P05780,Q92945
1096,P03454,Q99733
1097,P03470,P05141
1098,P03470,P08708
1099,P05777,P62888
1100,P15682,Q99729
1101,P03454,P50914
1102,P05780,P50990
1103,P05777,P62424
1104,P15682,Q14203
1105,P15659,P11142
1106,P05777,P04350
1107,P03470,Q9UNM6
1108,P03470,P78527
1109,P05777,Q9UBX3
1110,P03427,P05787
1111,P03427,Q8WZ42
1112,P03470,P13010
1113,P03430,P18077
1114,P05777,P60842
1115,P15682,Q9Y2Q9
1116,P03470,P11021
1117,P15682,P08621
1118,P03427,P13645
1119,P03427,P62807
1120,P03470,P62191
1121,P05777,P18085
1122,P15659,Q9Y3B4
1123,P15659,Q13813
1124,P03430,P83111
1125,P03470,P62701
1126,P15682,O14979
1127,P03454,P30050
1128,P03470,P36776
1129,P05780,P30154
1130,P03496,P19525
1131,P15682,Q9Y696
1132,P05777,Q9NUL3
1133,P15659,Q8TD20
1134,P03454,P23246
1135,P05780,Q99733
1136,P03454,Q16891
1137,P15682,O75934
1138,P15682,P62333
1139,P03430,P46781
1140,P05780,P55209
1141,P05780,Q6YHU6
1142,P05777,Q13895
1143,P03470,Q9HCE6
1144,P05777,P62937
1145,P15682,Q99459
1146,P03454,P18124
1147,P03430,P26368
1148,P05777,P11387
1149,P15682,Q9NRX1
1150,P03430,P83881
1151,P03454,P25398
1152,P03470,P15311
1153,P05777,P68371
1154,P03430,Q92522
1155,P03427,Q15365
1156,P05777,Q04637
1157,P15659,P06493
1158,P03454,Q8WWP7
1159,P05777,P49137
1160,P03470,Q8WU90
1161,P03470,P32969
1162,P15682,P38646
1163,Q82506,Q13243
1164,P05777,Q9UNM6
1165,P03430,Q96HS1
1166,P05777,P60903
1167,P05777,P50402
1168,P03427,Q15393
1169,P05777,O43324
1170,P15682,Q9BVI4
1171,P03427,Q9H078
1172,P05777,Q9NVI7
1173,P15659,P62979
1174,P05780,P39656
1175,P15682,Q14011
1176,P05777,Q8WU90
1177,P15682,P13010
1178,P05780,Q04637
1179,P03470,O75534
1180,P15682,P46781
1181,P03470,P26368
1182,P05780,P29692
1183,P15659,Q03135
1184,P05777,O15355
1185,P05777,P17980
