gene,mut,BME0304,BME0390,BME0736,BME1013,BME1044,BME1111,BME1361,BME1482,BME1577,BME1658,CBU CirA,CBU0388,CBU CirB,CBU0794,CBU CirC,CBU1198,CBU1217,CBU1314,CBU CirD,CBU_CirE,ST AvrA,ST CigR,ST GtgE,ST PipB,ST SipD,ST SopD,ST SptP,ST SpvB,ST SseC,ST SseG,ST SseI,ST SseK1,ST SseK2,ST SseK3,ST SteA,ST SteB
AME1,AME1-4,-2.416447015,-3.338498315,-2.054659798,-4.013577261,-2.855402578,5.111705339,-2.538842099,4.421458402,-4.961560739,-5.892034194,-2.039606125,14.08369816,-8.563132494,3.337938136,-4.578558278,2.814176596,1.634549521,6.660000428,0.362828602,4.335583539,4.04389959,-5.185539552,4.482343722,3.59922542,-6.924988451,6.765442052,9.940332792,-7.831051645,1.815252911,6.185550267,2.733468175,-4.319807106,5.145168521,-6.190893843,5.044426723,3.347388029
STU1,STU1-6,4.410011447,-3.237750382,0.80694471,-2.89786117,-2.556811825,8.975834237,0.00700435,-0.475765278,-2.848156621,-5.116937028,-5.624157002,15.74431401,-5.573121628,-1.811933898,-4.107553206,1.760214476,2.319856054,5.001920558,0.195756632,1.775031523,1.614318088,-1.086601298,0.046773595,2.559176829,-6.470608209,4.566384139,9.82211413,-3.297412798,-0.207538985,3.28224408,2.495660354,-2.842378284,3.540162064,-3.097280709,1.127274441,0.02752727
DAM1,DAM1-1,-0.782945597,-3.948867307,-1.686917518,-5.811835716,-6.502097388,7.726596381,0.509537452,-0.754729759,-3.859006952,-6.072699813,-4.173422578,17.27869198,-8.616209792,2.931472108,-4.034521369,-0.000512312,3.605494522,7.865007484,-1.119952444,2.168623803,0.117895185,-2.881967055,0.687809836,6.764479704,-6.553920024,7.332852709,9.394349333,-5.682675107,0.99043652,4.435181971,4.109357042,-7.050231335,3.448775408,-4.874243728,4.411716062,0.684205727
HCM1,HCM1,7.186308399,-1.970305944,-1.215562933,-2.430060797,-1.976599801,6.239399524,0.583791371,0.295550164,-2.206168047,-0.748413375,-2.425600762,8.71257013,-2.32596136,0.256579058,-1.183193454,-1.774433662,0.891270901,4.476832618,-2.139271599,0.016867067,0.233926823,-1.60220483,-1.320409602,1.323558155,-2.119839838,3.684341869,9.040042076,0.152064736,2.78736891,3.995688483,0.969781851,-1.308303131,-0.046410948,-4.229347102,1.650966139,0.41531194
PFY1,PFY1-13,10.00376689,2.250819723,1.628143173,-2.720391291,0.955134178,3.845736983,1.018907601,-5.588026533,2.289360763,0.388698322,1.686279157,-1.590184293,2.375661492,0.019396841,-4.234598317,-5.313253405,2.455003962,4.516385237,-3.918181638,-6.107819543,1.80975842,-2.662855274,0.772650042,-2.841209542,-0.74089669,2.809525197,8.595671503,-0.698259642,-2.452673831,-0.964265684,-3.985593561,-4.70796945,2.825343675,-0.33151684,-1.733456635,-3.750745595
KAR9,KAR9,9.075454389,1.208903323,-0.309519364,-0.982781892,-0.539217131,4.555348697,-1.679995616,-1.132472563,-0.410062308,-1.872699938,0.851653611,3.914979449,0.137725647,-0.192633992,-2.474281007,-2.32252403,0.019496935,1.041279491,-1.398344454,-3.510695526,-0.864998925,0.185269354,-0.583011461,-1.387565144,-0.64170708,0.998518231,8.501411903,-1.289090724,0.19519627,0.350531526,-0.423960188,1.669097267,0.061807327,1.218941928,-1.757662596,-1.513389956
OKP1,OKP1-5,-1.407279251,-4.768748671,0.229329628,-5.453068965,-3.667139028,7.2194803,-2.780743904,4.764804528,-5.53329634,-5.071144972,-2.236393072,15.43383622,-10.87527296,3.867536178,-5.363635437,4.697481312,1.283053681,6.861418682,0.992252888,4.668784469,2.693512373,-1.821722869,3.482893937,3.271801512,-6.065032318,5.737850606,8.283096332,-7.693587262,1.382656433,5.617560262,3.358355194,-6.411032012,3.357328538,-2.654249256,5.153660038,3.527866647
DSN1,DSN1-7,-1.43313062,-5.449939878,-0.386368547,-3.930840716,-1.146286481,3.728527099,-2.075231302,3.071978505,-5.201515387,-3.763238914,-2.112911087,12.05241601,-5.46993909,1.417699977,-5.440403442,2.062741902,1.205292537,5.454130664,0.66051667,4.369220016,2.921408561,-4.876116285,2.930953745,0.687277691,-6.46019862,5.119650504,8.25748537,-3.576091278,0.905613711,3.901937878,2.352858334,-5.234335833,4.726406377,-4.741079295,2.91263927,4.517045115
PFY1,PFY1-4,8.90068718,2.538121704,0.307520653,-1.721974974,0.43053065,3.829660426,3.308496882,-4.267512176,1.424420574,2.805405987,1.55549906,0.065018605,2.928155201,0.738992605,-3.29265243,-5.84209037,0.108031195,3.50738948,-4.875657332,-6.615521138,0.008637382,-2.112128287,0.027827029,-3.601203436,-2.101722569,3.629960348,8.00778403,0.006633266,-1.574416075,-0.004465224,-3.36343751,-3.492410875,2.424721288,-0.034891925,-1.448128559,-2.517341145
SPC105,SPC105-4,-4.254885524,-6.025163856,-0.223929366,-5.351887553,-5.126126813,6.824449526,-1.379341256,2.772581231,-4.522028693,-6.196952712,-6.292029121,16.29343671,-8.959316398,0.867741371,-6.046751914,3.297641934,3.250047102,7.08074455,1.239124872,3.739977275,1.346646613,-3.921991297,3.367232601,2.774680417,-6.165950994,5.87051162,7.966767276,-5.96889768,1.082615411,3.704370278,4.495486352,-5.828660817,5.155364212,-4.167414451,3.280032412,2.637403219
STU1,STU1-5,7.507949139,-0.510294996,-1.19639346,-0.565686857,-2.577341499,7.126865487,2.535607515,-2.56826932,1.244404455,-2.874665961,-2.308539148,9.89608674,-0.865386916,-1.446225468,-2.89807022,-3.461627392,-1.53943129,3.565325933,-2.719947575,-2.181614776,0.183865984,-0.507478491,-1.712088174,0.144949885,-1.350180377,2.061305202,7.930129342,-0.73865924,-0.337037297,0.407451737,0.287119349,-0.144672378,-0.869787551,1.701420937,0.433153002,-1.304077395
STU1,STU1-8,5.850117076,-4.290271125,-0.299343364,-1.48499616,-3.444506748,7.428605671,-0.306596704,1.201470658,-0.092907985,-3.541224262,-3.621509732,10.44489369,-3.37217228,1.452889846,-5.952402668,0.869436445,0.410644812,2.639741833,0.281711766,1.349350412,1.659244994,0.123071386,1.091112075,1.016481288,-2.724249617,3.463518731,7.727917211,-1.241052689,-0.180301918,3.229844946,1.411224096,-0.91294488,1.899421592,-1.286032802,0.649783016,0.118343773
YKE2,YKE2,2.299518357,1.129895629,1.04936463,-1.281837711,-0.394753502,3.870074162,1.641660508,-3.233308317,-1.500163715,-0.399053583,0.547455656,6.075511898,-3.418095867,0.253403318,-1.40099984,-2.324637269,3.199027203,5.244580098,-3.069184621,-1.04542763,-1.527924451,-3.404235613,-1.664566505,2.436934648,-4.562120137,6.142479753,7.710188871,-5.403916351,-0.248711778,2.667768722,1.669646308,-2.209174169,1.979995476,-3.498861458,1.652951872,-2.18083741
